id,name,latitude,longitude,v_grade,a_grade,commitment,quality,pitches,longest_pitch,hours,rock_type,wetsuits,alt_names,sources,description
1,Alcatraz,-33.3447,150.2396,3.0,3.0,2.0,3.5,1.0,15.0,,,,,,
2,Anaconda,-32.99155834,150.2955606,,,,,,,,Sandstone,,,,
3,Arch,-33.4001,150.34,3.0,1.0,,2.0,2.0,,,Sandstone,,,,
4,Arethusa,-33.6589,150.3467,4.0,4.0,3.0,4.0,6.0,30.0,9.0,Sandstone,,,,
5,Arthurs,-33.41020622,150.3095246,,,,,,20.0,,Sandstone,2.0,,,
6,Ashcroft Ravine,-33.68414974,150.3872899,,,,,,,,Sandstone,,,,
7,Ballrace,-33.2150819,150.3337504,1.0,1.0,,,,,,Sandstone,,,,
8,Bangalore,-30.295,152.9201,3.0,3.0,3.0,3.7,9.0,25.0,5.0,,,,,
9,Banks,-33.3613,150.339,,,,2.0,5.0,20.0,,Sandstone,5.0,,,
10,Bell Creek,-33.4999,150.3371,1.0,1.0,4.0,4.5,0.0,0.0,9.0,Sandstone,5.0,,,
11,Bell Creek Complete,-33.50222232,150.31206,,,,4.5,0.0,0.0,12.0,Sandstone,5.0,,,
12,Better Offer,-33.5474,150.316,3.0,1.0,3.0,2.5,6.0,28.0,6.0,Sandstone,,,,
13,Bigfoot,-33.2069,150.2712,2.0,1.0,,2.0,,,,,,,,
14,Birrabang,-33.54579516,150.3257845,,,,1.5,0.0,0.0,5.0,Sandstone,,,,
15,Bjelkes Mind,-33.38518496,150.3618825,,,,3.7,5.0,25.0,,Sandstone,3.0,,,
16,Blackboard,-32.95239677,150.3192126,,,,,,,,Sandstone,,,,
17,Blue Drum Creek,-33.84405812,150.4029585,,,,,,,,Sandstone,,,,
18,Bluff Creek,-30.9349,152.2643,5.0,3.0,5.0,4.0,14.0,65.0,8.0,,,,,
19,Bowens Creek North (Lower),-33.5215,150.3932,2.0,2.0,3.0,3.4,3.0,12.0,6.0,Sandstone,5.0,"{""alternative_names"": [""Gobsmacker""]}",,
20,Bowens Creek North Complete,-33.5234,150.36543,,,,4.0,6.0,15.0,10.0,Sandstone,5.0,,,
21,Bowens Creek South (Upper),-33.5529,150.3547,3.0,2.0,2.0,3.4,3.0,,,Sandstone,5.0,,,
22,Bowens Creek South Complete,-33.53631602,150.3885192,,,,,,,,Sandstone,5.0,,,
23,Box,-32.59714194,150.1157578,,,,,,,,Sandstone,,,,
24,Box Creek,-33.9452,149.997,4.0,2.0,2.0,2.3,9.0,65.0,6.0,Granite,3.0,,,
25,Breakfast Creek,-33.2721,150.2991,3.0,1.0,3.0,2.7,6.0,9.0,7.0,Sandstone,,,,
26,Bridge,-33.38869758,150.3574773,,,,,13.0,25.0,,Sandstone,,,,
27,Bridge-2,-32.94983243,150.2840002,,,,,,,,Sandstone,,,,
28,Bubble-Bath,-33.38038212,150.348057,,,,,,15.0,,Sandstone,,"{""alternative_names"": [""Froth-and-Bubble""]}",,
29,Bull Ant,-33.13442977,150.3147604,,,,,,,,Sandstone,,"{""alternative_names"": [""Doomsday""]}",,
30,Bull Ring,-33.24764396,150.3810478,,,,,,,,Sandstone,,,,
